Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source
"What are the EXACT steps to configure auto-swap for Azure App Service deployment slots to ensure zero-downtime deployments?","Create deployment slot → Configure warm-up → Enable auto-swap → Test","Configure warm-up → Create slot → Enable auto-swap → Deploy","Create slot → Deploy → Enable auto-swap → Configure warm-up","Enable auto-swap → Create slot → Configure warm-up → Deploy","A","<strong>Correct Answer: A) Create deployment slot → Configure warm-up → Enable auto-swap → Test</strong><br><br><strong>Step-by-Step Process:</strong><br>1. <strong>Create deployment slot</strong> (staging) in App Service<br>2. <strong>Configure warm-up</strong> during slot creation OR in deployment settings<br>3. <strong>Enable Auto-Swap</strong> to automatically swap staging to production after deployment completion<br>4. <strong>Test</strong> to ensure system performs automatic warm-up process before swap<br><br><strong>Key Benefits:</strong><br>• Zero-downtime deployment with automatic warm-up<br>• Health validation before swap<br>• Fail-safe rollback if deployment health checks fail<br>• Perfect integration with CI/CD pipelines","App Service,Deployment,Critical Priority,Auto-Swap","Microsoft Learn - App Service Deployment Slots"
"You need to securely connect an App Service to Azure SQL Database. What is the CORRECT sequence to avoid connectivity loss?","VNet Integration → Service Endpoint → Firewall Rules → Disable Public Access → Test","Service Endpoint → VNet Integration → Firewall Rules → Disable Public Access → Test","Disable Public Access → VNet Integration → Service Endpoint → Firewall Rules → Test","Firewall Rules → VNet Integration → Service Endpoint → Disable Public Access → Test","A","<strong>Correct Answer: A) VNet Integration → Service Endpoint → Firewall Rules → Disable Public Access → Test</strong><br><br><strong>Critical Sequence (C→A→D→B→E):</strong><br>1. <strong>VNet Integration:</strong> Connect App Service to VNet subnet FIRST<br>2. <strong>Service Endpoint:</strong> Enable Microsoft.Sql service endpoint on the subnet<br>3. <strong>Firewall Rules:</strong> Update SQL Database firewall to allow subnet access<br>4. <strong>Disable Public Access:</strong> Turn off public internet access to SQL Database<br>5. <strong>Test:</strong> Verify end-to-end secure connection works<br><br><strong>CRITICAL:</strong> Must establish VNet integration and service endpoints BEFORE disabling public access to prevent connectivity loss","App Service,Security,VNet,SQL Database,Critical Priority","Microsoft Learn - App Service VNet Integration"
"What is the complete Container Security Pipeline implementation for Azure Container Registry that ensures only secure images reach production?","Microsoft Defender for Containers only","ACR Tasks for Build Pipeline only","Azure Policy for Enforcement only","Microsoft Defender + ACR Tasks + Azure Policy (Three-Layer Approach)","D","<strong>Correct Answer: D) Microsoft Defender + ACR Tasks + Azure Policy (Three-Layer Approach)</strong><br><br><strong>Three-Layer Security Approach:</strong><br><br><strong>1. Microsoft Defender for Containers</strong><br>• Native Azure vulnerability scanning solution<br>• Automatic detection and detailed reporting<br>• Integrated with Azure Security Center<br><br><strong>2. ACR Tasks for Build Pipeline</strong><br>• Automated scanning during CI/CD process<br>• Implements shift-left security principles<br>• Catches vulnerabilities early in development<br><br><strong>3. Azure Policy for Enforcement</strong><br>• Deny deployment of unscanned images<br>• Block images with critical vulnerabilities<br>• Ensure only compliant images reach production<br><br><strong>Result:</strong> Defender scans, ACR Tasks automates, Policy enforces = Complete security pipeline","Containers,Security,ACR,Microsoft Defender,Critical Priority","Microsoft Learn - Container Security"
"Azure Container Instances (ACI) scaling behavior vs AKS - what is the fundamental limitation?","ACI supports in-place auto-scaling like AKS","ACI has NO in-place auto-scaling - requires delete/redeploy","ACI supports horizontal pod autoscaling","ACI supports vertical scaling only","B","<strong>Correct Answer: B) ACI has NO in-place auto-scaling - requires delete/redeploy</strong><br><br><strong>ACI Fundamental Limitation:</strong> NO in-place auto-scaling support<br><br><strong>ACI Scaling Process:</strong><br>1. Delete the existing container group (az container delete)<br>2. Modify deployment template/command with new resource specs (CPU cores, memory GB, container count)<br>3. Redeploy the container group (az container create with updated parameters)<br><br><strong>ACI vs AKS Comparison:</strong><br>• <strong>ACI:</strong> Delete/redeploy with brief interruption<br>• <strong>AKS:</strong> In-place Horizontal Pod Autoscaler (HPA) with zero downtime<br><br><strong>Mnemonic:</strong> ACI = 'A Container, Immutable' - To change it, you must replace it entirely<br><br><strong>Exam Tip:</strong> Choose AKS for production workloads requiring auto-scaling","ACI,Scaling,Containers,Limitations,Critical Priority","Microsoft Learn - Azure Container Instances"
"What are Container Apps ingress configuration options and when would you use each?","External only","Internal only","External, Internal, or Disabled based on use case","Disabled only","C","<strong>Correct Answer: C) External, Internal, or Disabled based on use case</strong><br><br><strong>External Ingress:</strong><br>• Exposes app to internet traffic<br>• Provides public FQDN (e.g., app.kindcliff-123.eastus.azurecontainerapps.io)<br>• Use for: Public-facing APIs, web applications<br><br><strong>Internal Ingress:</strong><br>• VNet-only access - no internet exposure<br>• Private connectivity within Container Apps Environment<br>• Use for: Internal microservices, backend APIs<br><br><strong>Disabled:</strong><br>• No HTTP ingress at all<br>• Use for: Background jobs, queue processors<br><br><strong>Key Configuration Points:</strong><br>• Target Port: Must match the port your container listens on (80, 8080, 3000)<br>• Traffic Splitting: Enable blue/green deployments with revision weight distribution","Container Apps,Ingress,Networking,High Priority","Microsoft Learn - Container Apps"
"What is the difference between Fault Domains (FD) and Update Domains (UD) in Azure?","FD = Software isolation, UD = Hardware isolation","FD = Hardware isolation, UD = Maintenance isolation","Both provide the same type of isolation","FD and UD are not used in Azure","B","<strong>Correct Answer: B) FD = Hardware isolation, UD = Maintenance isolation</strong><br><br><strong>Fault Domains (FD) - Hardware Isolation:</strong><br>• Represents VMs sharing common physical rack, power source, network switch<br>• VMs in same FD can fail together during hardware issues<br>• Maximum 3 fault domains in most Azure regions<br>• Azure automatically distributes VMs across FDs in availability sets<br><br><strong>Update Domains (UD) - Maintenance Isolation:</strong><br>• Represents VMs that can be updated/rebooted together during planned maintenance<br>• Only one UD updated at a time during planned maintenance<br>• Up to 20 update domains (default 5)<br>• Ensures portion of application remains running during updates<br><br><strong>Real-World Impact:</strong><br>• <strong>Availability Sets:</strong> Distribute VMs across both FDs and UDs automatically<br>• <strong>VMSS Uniform:</strong> Up to 5 fault domains with platform-managed spreading<br>• <strong>VMSS Flexible:</strong> Up to 1000 fault domains with maximum spreading capability","VM,Availability,Fault Domains,Update Domains,High Priority","Microsoft Learn - VM Availability"
"Compare VMSS Orchestration Modes: Uniform vs Flexible - what is the key difference?","No difference between modes","Uniform = Identical VMs with auto-scaling, Flexible = Mixed VMs with manual control","Flexible = Identical VMs only, Uniform = Mixed VMs only","Both support identical VMs only","B","<strong>Correct Answer: B) Uniform = Identical VMs with auto-scaling, Flexible = Mixed VMs with manual control</strong><br><br><strong>Uniform Mode:</strong><br>• <strong>Instance Identity:</strong> Identical VMs (same size/config)<br>• <strong>Max Fault Domains:</strong> Up to 5 FDs (Platform Managed)<br>• <strong>Scale-in Policy:</strong> Automatic (newest/oldest first)<br>• <strong>Load Balancer:</strong> Required for auto-scaling<br>• <strong>Autoscale Support:</strong> Full support (horizontal)<br>• <strong>Best Use Case:</strong> Stateless apps, web tiers<br><br><strong>Flexible Mode:</strong><br>• <strong>Instance Identity:</strong> Mixed VM sizes & types allowed<br>• <strong>Max Fault Domains:</strong> Up to 1000 FDs (Max Spreading)<br>• <strong>Scale-in Policy:</strong> Manual instance selection<br>• <strong>Load Balancer:</strong> Optional (manual assignment)<br>• <strong>Autoscale Support:</strong> Limited (manual management)<br>• <strong>Best Use Case:</strong> Stateful apps, databases<br><br><strong>Exam Memory Aid:</strong> Uniform = Auto-scaling web apps | Flexible = Manual control for complex workloads","VMSS,Scaling,Orchestration Modes,High Priority","Microsoft Learn - VMSS Orchestration"
"What is the D-G-W-C sequence for migrating encrypted VMs in Azure?","Deploy-Generate-Wait-Create","Deallocate-Generate-Wait-Create","Deallocate-Group-Wait-reCreate","Delete-Group-Wait-Configure","C","<strong>Correct Answer: C) Deallocate-Group-Wait-reCreate</strong><br><br><strong>D-G-W-C Sequence: 'Don't Go Without Coffee'</strong><br><br><strong>D - Deallocate</strong><br>• Stop VM and release compute resources<br>• Command: <span class=\"code\">az vm deallocate --resource-group SourceRG --name EncryptedVM</span><br><br><strong>G - Create Resource Group</strong><br>• Prepare destination resource group<br>• Command: <span class=\"code\">az group create --name TargetRG --location eastus</span><br><br><strong>W - Wait for Deletion</strong><br>• CRITICAL STEP: <span class=\"code\">az vm wait --deleted</span><br>• Prevents 'resource still in use' errors<br>• Must wait for Azure to complete deletion process<br><br><strong>C - reCreate VM</strong><br>• Recreate VM with encrypted disk in target RG<br>• Command: <span class=\"code\">az vm create --attach-os-disk EncryptedOSDisk</span><br><br><strong>Why Portal Move Fails:</strong> Azure Portal 'Move' button does NOT work for encrypted VMs<br><strong>Key Vault Access:</strong> Target RG needs permissions to Key Vault containing ADE encryption keys","VM,Encryption,Migration,High Priority","Microsoft Learn - VM Migration"
"What are the App Service runtime and OS constraints for .NET Framework vs Ruby?","Both can run on Windows or Linux","NET Framework requires Windows, Ruby requires Linux","NET Framework requires Linux, Ruby requires Windows","Both require Windows only","B","<strong>Correct Answer: B) .NET Framework requires Windows, Ruby requires Linux</strong><br><br><strong>Windows Only Runtimes:</strong><br>• ASP.NET Framework<br>• .NET Framework (legacy)<br><br><strong>Linux Only Runtimes:</strong><br>• Ruby<br>• Docker Multi-Container<br><br><strong>Cross-Platform Runtimes (Both Windows & Linux):</strong><br>• .NET Core/.NET 5+<br>• Node.js<br>• PHP<br>• Python<br>• Java<br><br><strong>CRITICAL EXAM TRAP:</strong><br>You CANNOT run .NET Framework (requires Windows) and Ruby (requires Linux) in the same App Service Plan because they require different OS types<br><br><strong>Multiple Apps Constraint:</strong><br>All apps in a plan share CPU/memory and MUST match the plan OS (all Windows OR all Linux)<br><br><strong>Code vs Docker Publishing:</strong><br>• Code: Native runtimes, simpler deployment<br>• Docker: Custom runtimes, more flexibility, multi-container only on Linux","App Service,Runtime,OS Constraints,High Priority","Microsoft Learn - App Service"
"How do you deploy and configure the Network Watcher Agent?","Manual installation only","Automatic deployment when packet capture is initiated","Azure CLI extension set command","All of the above","D","<strong>Correct Answer: D) All of the above</strong><br><br><strong>Network Watcher Agent Deployment:</strong><br><br><strong>VM Extension Names:</strong><br>• Windows: Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentWindows<br>• Linux: Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentLinux<br><br><strong>Deployment Methods:</strong><br>1. <strong>Azure Portal:</strong> VM → Extensions + Applications → Add NetworkWatcherAgent<br>2. <strong>Azure CLI:</strong> <span class=\"code\">az vm extension set --name NetworkWatcherAgentLinux --publisher Microsoft.Azure.NetworkWatcher</span><br>3. <strong>Auto-Install:</strong> Automatically deployed when packet capture is initiated<br><br><strong>Packet Capture Features:</strong><br>• Traffic filtering by protocol, IPs, ports<br>• Maximum 18000 seconds capture duration<br>• Storage to VM file system or Azure Storage Account<br>• Analysis with Wireshark or Network Monitor (.cap files)<br><br><strong>Primary Use Cases:</strong><br>• Network connectivity troubleshooting<br>• Packet loss and performance analysis<br>• Security investigation of suspicious traffic<br>• Application traffic monitoring and bandwidth analysis","Network Watcher,Monitoring,High Priority","Microsoft Learn - Network Watcher"